antecedent,consequent,support,confidence
{16},{19 28},0.513,0.204
{19 30},{34},0.316,0.678
{30 34},{19},0.368,0.583
{19 34},{30},0.36,0.596
{30},{19 34},0.563,0.381
{19},{30 34},0.54,0.398
{34},{19 30},0.641,0.335
{30 44},{19},0.217,0.581
{19 30},{44},0.316,0.398
{19 44},{30},0.213,0.592
{30},{19 44},0.563,0.223
{44},{19 30},0.373,0.337
{19},{30 44},0.54,0.233
{19 30},{48},0.316,0.523
{30 48},{19},0.282,0.586
{19 48},{30},0.268,0.618
{30},{19 48},0.563,0.294
{19},{30 48},0.54,0.307
{48},{19 30},0.479,0.346
{19 30},{49},0.316,0.436
{30 49},{19},0.229,0.601
{19 49},{30},0.219,0.629
{30},{19 49},0.563,0.245
{19},{30 49},0.54,0.255
{49},{19 30},0.389,0.355
{15 30},{19},0.185,0.59
{15 19},{30},0.175,0.623
{19 30},{15},0.316,0.344
{15},{19 30},0.305,0.356
{30},{15 19},0.563,0.193
{19},{15 30},0.54,0.202
{19 30},{16},0.316,0.527
{16 30},{19},0.29,0.575
{16 19},{30},0.286,0.583
{30},{16 19},0.563,0.296
{19},{16 30},0.54,0.309
{16},{19 30},0.513,0.325
{19 30},{26},0.316,0.442
{26 30},{19},0.245,0.572
{19 26},{30},0.233,0.601
{30},{19 26},0.563,0.248
{19},{26 30},0.54,0.259
{26},{19 30},0.412,0.339
{12 30},{19},0.215,0.593
{19 30},{12},0.316,0.403
{12 19},{30},0.204,0.625
{30},{12 19},0.563,0.226
{12},{19 30},0.365,0.349
{19},{12 30},0.54,0.236
{19 30},{42},0.316,0.34
{30 42},{19},0.188,0.573
{19 42},{30},0.175,0.615
{30},{19 42},0.563,0.191
{19},{30 42},0.54,0.199
{42},{19 30},0.317,0.339
{19 30},{46},0.316,0.406
{30 46},{19},0.226,0.569
{19 46},{30},0.206,0.624
{30},{19 46},0.563,0.228
{19},{30 46},0.54,0.238
{46},{19 30},0.372,0.345
{19 30},{32},0.316,0.437
{30 32},{19},0.245,0.565
{19 32},{30},0.226,0.612
{30},{19 32},0.563,0.245
{19},{30 32},0.54,0.256
{32},{19 30},0.413,0.335
{30 39},{19},0.193,0.581
{19 39},{30},0.178,0.63
{19 30},{39},0.316,0.354
{39},{19 30},0.316,0.355
{30},{19 39},0.563,0.199
{19},{30 39},0.54,0.208
{19 44},{34},0.213,0.669
{34 44},{19},0.25,0.57
{19 34},{44},0.36,0.395
{44},{19 34},0.373,0.381
{19},{34 44},0.54,0.263
{34},{19 44},0.641,0.222
{19 34},{48},0.36,0.494
{19 48},{34},0.268,0.663
{34 48},{19},0.316,0.561
{19},{34 48},0.54,0.329
{34},{19 48},0.641,0.277
{48},{19 34},0.479,0.371
{19 34},{49},0.36,0.417
{19 49},{34},0.219,0.685
{34 49},{19},0.254,0.592
{19},{34 49},0.54,0.278
{34},{19 49},0.641,0.234
{49},{19 34},0.389,0.386
{15 19},{34},0.175,0.662
{15 34},{19},0.202,0.573
{19 34},{15},0.36,0.321
{15},{19 34},0.305,0.378
{19},{15 34},0.54,0.214
{34},{15 19},0.641,0.18
{19 34},{16},0.36,0.528
{16 19},{34},0.286,0.663
{16 34},{19},0.332,0.571
{19},{16 34},0.54,0.352
{34},{16 19},0.641,0.296
{16},{19 34},0.513,0.37
{19 34},{26},0.36,0.433
{26 34},{19},0.27,0.578
{19 26},{34},0.233,0.67
{34},{19 26},0.641,0.243
{19},{26 34},0.54,0.289
{26},{19 34},0.412,0.378
{19 34},{2},0.36,0.314
{2 34},{19},0.187,0.605
{2 19},{34},0.157,0.721
{34},{2 19},0.641,0.177
{19},{2 34},0.54,0.21
{2},{19 34},0.273,0.415
{12 19},{34},0.204,0.678
{12 34},{19},0.238,0.581
{19 34},{12},0.36,0.384
{12},{19 34},0.365,0.378
{19},{12 34},0.54,0.256
{34},{12 19},0.641,0.216
{19 42},{34},0.175,0.668
{34 42},{19},0.209,0.559
{19 34},{42},0.36,0.325
{42},{19 34},0.317,0.368
{19},{34 42},0.54,0.216
{34},{19 42},0.641,0.182
{19 46},{34},0.206,0.702
{34 46},{19},0.253,0.571
{19 34},{46},0.36,0.402
{46},{19 34},0.372,0.388
{19},{34 46},0.54,0.268
{34},{19 46},0.641,0.226
{19 34},{32},0.36,0.441
{19 32},{34},0.226,0.702
{32 34},{19},0.277,0.572
{19},{32 34},0.54,0.294
{34},{19 32},0.641,0.247
{32},{19 34},0.413,0.384
{19 39},{34},0.178,0.7
{34 39},{19},0.21,0.594
{19 34},{39},0.36,0.346
{39},{19 34},0.316,0.394
{19},{34 39},0.54,0.231
{34},{19 39},0.641,0.194
{19 29},{34},0.159,0.675
{29 34},{19},0.18,0.599
{19 34},{29},0.36,0.299
{29},{19 34},0.28,0.383
{19},{29 34},0.54,0.199
{34},{19 29},0.641,0.168
{19 38},{34},0.147,0.701
{34 38},{19},0.179,0.577
{19 34},{38},0.36,0.288
{38},{19 34},0.269,0.385
{19},{34 38},0.54,0.192
{34},{19 38},0.641,0.161
{19 44},{48},0.213,0.515
{44 48},{19},0.186,0.589
{19 48},{44},0.268,0.409
{44},{19 48},0.373,0.293
{19},{44 48},0.54,0.203
{48},{19 44},0.479,0.229
{19 44},{16},0.213,0.521
{16 44},{19},0.196,0.567
{16 19},{44},0.286,0.387
{44},{16 19},0.373,0.297
{19},{16 44},0.54,0.205
{16},{19 44},0.513,0.216
{19 49},{48},0.219,0.495
{19 48},{49},0.268,0.405
{48 49},{19},0.191,0.568
{19},{48 49},0.54,0.201
{49},{19 48},0.389,0.279
{48},{19 49},0.479,0.226
{19 48},{16},0.268,0.532
{16 19},{48},0.286,0.498
{16 48},{19},0.248,0.575
{19},{16 48},0.54,0.264
{48},{16 19},0.479,0.298
{16},{19 48},0.513,0.278
{19 26},{48},0.233,0.514
{19 48},{26},0.268,0.446
