antecedent,consequent,support,confidence
{6 14 18 19},{1},0.171,0.592
{1 14 18 19},{6},0.173,0.585
{1 6 18 19},{14},0.13,0.779
{1 6 14 19},{18},0.128,0.789
{1 6 14 18},{19},0.165,0.611
{14 18 19},{1 6},0.306,0.331
{6 18 19},{1 14},0.222,0.456
{6 14 19},{1 18},0.221,0.458
{6 14 18},{1 19},0.29,0.349
{1 18 19},{6 14},0.223,0.454
{1 14 19},{6 18},0.22,0.46
{1 14 18},{6 19},0.293,0.345
{1 6 19},{14 18},0.167,0.606
{1 6 18},{14 19},0.218,0.465
{1 6 14},{18 19},0.214,0.472
{18 19},{1 6 14},0.4,0.253
{14 19},{1 6 18},0.399,0.253
{14 18},{1 6 19},0.527,0.192
{6 19},{1 14 18},0.298,0.339
{6 18},{1 14 19},0.382,0.265
{6 14},{1 18 19},0.388,0.261
{1 19},{6 14 18},0.288,0.351
{1 18},{6 14 19},0.387,0.261
{1 14},{6 18 19},0.382,0.265
{1 6},{14 18 19},0.284,0.356
{19},{1 6 14 18},0.54,0.187
{18},{1 6 14 19},0.705,0.143
{14},{1 6 18 19},0.717,0.141
{6},{1 14 18 19},0.528,0.192
{1},{6 14 18 19},0.52,0.194
{6 14 18 30},{1},0.174,0.592
{1 14 18 30},{6},0.181,0.57
{1 6 18 30},{14},0.129,0.796
{1 6 14 30},{18},0.137,0.754
{1 6 14 18},{30},0.165,0.623
{14 18 30},{1 6},0.31,0.333
{6 18 30},{1 14},0.222,0.465
{6 14 30},{1 18},0.235,0.44
{6 14 18},{1 30},0.29,0.356
{1 18 30},{6 14},0.225,0.458
{1 14 30},{6 18},0.239,0.432
{1 14 18},{6 30},0.293,0.352
{1 6 30},{14 18},0.175,0.591
{1 6 18},{14 30},0.218,0.474
{1 6 14},{18 30},0.214,0.481
{18 30},{1 6 14},0.397,0.26
{14 30},{1 6 18},0.421,0.245
{14 18},{1 6 30},0.527,0.196
{6 30},{1 14 18},0.307,0.336
{6 18},{1 14 30},0.382,0.27
{6 14},{1 18 30},0.388,0.266
{1 30},{6 14 18},0.31,0.333
{1 18},{6 14 30},0.387,0.266
{1 14},{6 18 30},0.382,0.27
{1 6},{14 18 30},0.284,0.363
{30},{1 6 14 18},0.563,0.183
{18},{1 6 14 30},0.705,0.146
{14},{1 6 18 30},0.717,0.144
{6},{1 14 18 30},0.528,0.195
{1},{6 14 18 30},0.52,0.198
{6 14 18 34},{1},0.202,0.599
{1 6 14 18},{34},0.165,0.732
{1 14 18 34},{6},0.211,0.575
{1 6 18 34},{14},0.156,0.777
{1 6 14 34},{18},0.155,0.779
{6 14 18},{1 34},0.29,0.418
{14 18 34},{1 6},0.36,0.336
{6 18 34},{1 14},0.262,0.462
{6 14 34},{1 18},0.265,0.457
{1 14 18},{6 34},0.293,0.414
{1 6 18},{14 34},0.218,0.557
{1 6 14},{18 34},0.214,0.565
{1 18 34},{6 14},0.271,0.448
{1 14 34},{6 18},0.266,0.456
{1 6 34},{14 18},0.201,0.602
{14 18},{1 6 34},0.527,0.23
{6 18},{1 14 34},0.382,0.317
{6 14},{1 18 34},0.388,0.312
{18 34},{1 6 14},0.466,0.26
{14 34},{1 6 18},0.475,0.255
{6 34},{1 14 18},0.352,0.344
{1 18},{6 14 34},0.387,0.313
{1 14},{6 18 34},0.382,0.317
{1 6},{14 18 34},0.284,0.426
{1 34},{6 14 18},0.352,0.344
{18},{1 6 14 34},0.705,0.172
{14},{1 6 18 34},0.717,0.169
{6},{1 14 18 34},0.528,0.23
{34},{1 6 14 18},0.641,0.189
{1},{6 14 18 34},0.52,0.233
{14 18 19 30},{1},0.186,0.581
{1 18 19 30},{14},0.134,0.808
{1 14 19 30},{18},0.139,0.779
{1 14 18 30},{19},0.181,0.598
{1 14 18 19},{30},0.173,0.625
{18 19 30},{1 14},0.237,0.456
{14 19 30},{1 18},0.241,0.449
{14 18 30},{1 19},0.31,0.349
{14 18 19},{1 30},0.306,0.354
{1 19 30},{14 18},0.177,0.611
{1 18 30},{14 19},0.225,0.481
{1 18 19},{14 30},0.223,0.485
{1 14 30},{18 19},0.239,0.453
{1 14 19},{18 30},0.22,0.492
{1 14 18},{19 30},0.293,0.369
{19 30},{1 14 18},0.316,0.342
{18 30},{1 14 19},0.397,0.272
{18 19},{1 14 30},0.4,0.27
{14 30},{1 18 19},0.421,0.257
{14 19},{1 18 30},0.399,0.271
{14 18},{1 19 30},0.527,0.205
{1 30},{14 18 19},0.31,0.349
{1 19},{14 18 30},0.288,0.375
{1 18},{14 19 30},0.387,0.279
{1 14},{18 19 30},0.382,0.283
{30},{1 14 18 19},0.563,0.192
{19},{1 14 18 30},0.54,0.2
{18},{1 14 19 30},0.705,0.153
{14},{1 18 19 30},0.717,0.151
{1},{14 18 19 30},0.52,0.208
{14 18 19 34},{1},0.215,0.594
{1 14 18 19},{34},0.173,0.739
{1 18 19 34},{14},0.16,0.796
{1 14 19 34},{18},0.159,0.801
{1 14 18 34},{19},0.211,0.607
{14 18 19},{1 34},0.306,0.418
{18 19 34},{1 14},0.274,0.467
{14 19 34},{1 18},0.275,0.465
{14 18 34},{1 19},0.36,0.355
{1 18 19},{14 34},0.223,0.573
{1 14 19},{18 34},0.22,0.581
{1 14 18},{19 34},0.293,0.437
{1 19 34},{14 18},0.203,0.629
{1 18 34},{14 19},0.271,0.472
{1 14 34},{18 19},0.266,0.481
{18 19},{1 14 34},0.4,0.32
{14 19},{1 18 34},0.399,0.32
{14 18},{1 19 34},0.527,0.242
{19 34},{1 14 18},0.36,0.355
{18 34},{1 14 19},0.466,0.274
{14 34},{1 18 19},0.475,0.269
{1 19},{14 18 34},0.288,0.443
{1 18},{14 19 34},0.387,0.33
{1 14},{18 19 34},0.382,0.334
{1 34},{14 18 19},0.352,0.363
{19},{1 14 18 34},0.54,0.237
{18},{1 14 19 34},0.705,0.181
{14},{1 18 19 34},0.717,0.178
{34},{1 14 18 19},0.641,0.199
{1},{14 18 19 34},0.52,0.246
{14 18 30 34},{1},0.216,0.609
{1 14 18 30},{34},0.181,0.727
{1 18 30 34},{14},0.162,0.812
{1 14 30 34},{18},0.168,0.783
{1 14 18 34},{30},0.211,0.624
{14 18 30},{1 34},0.31,0.425
{18 30 34},{1 14},0.27,0.488
{14 30 34},{1 18},0.282,0.466
{14 18 34},{1 30},0.36,0.365
{1 18 30},{14 34},0.225,0.585
{1 14 30},{18 34},0.239,0.55
{1 14 18},{30 34},0.293,0.449
{1 30 34},{14 18},0.214,0.616
{1 18 34},{14 30},0.271,0.486
{1 14 34},{18 30},0.266,0.495
{18 30},{1 14 34},0.397,0.331
{14 30},{1 18 34},0.421,0.312
{14 18},{1 30 34},0.527,0.249
{30 34},{1 14 18},0.368,0.357
{18 34},{1 14 30},0.466,0.282
{14 34},{1 18 30},0.475,0.277
{1 30},{14 18 34},0.31,0.424
{1 18},{14 30 34},0.387,0.34
{1 14},{18 30 34},0.382,0.344
{1 34},{14 18 30},0.352,0.373
{30},{1 14 18 34},0.563,0.233
{18},{1 14 30 34},0.705,0.186
{14},{1 18 30 34},0.717,0.183
{34},{1 14 18 30},0.641,0.205
{1},{14 18 30 34},0.52,0.253
{14 18 34 48},{1},0.187,0.604
{1 14 18 48},{34},0.153,0.737
{1 18 34 48},{14},0.14,0.807
{1 14 18 34},{48},0.211,0.537
{1 14 34 48},{18},0.14,0.805
{14 18 48},{1 34},0.27,0.419
{18 34 48},{1 14},0.235,0.481
{14 18 34},{1 48},0.36,0.314
{14 34 48},{1 18},0.242,0.467
{1 18 48},{14 34},0.194,0.583
{1 14 18},{34 48},0.293,0.387
{1 14 48},{18 34},0.195,0.579
{1 18 34},{14 48},0.271,0.418
{1 34 48},{14 18},0.179,0.634
{1 14 34},{18 48},0.266,0.426
{18 48},{1 14 34},0.348,0.325
{14 18},{1 34 48},0.527,0.215
{14 48},{1 18 34},0.356,0.318
{18 34},{1 14 48},0.466,0.242
{34 48},{1 14 18},0.316,0.358
{14 34},{1 18 48},0.475,0.238
{1 18},{14 34 48},0.387,0.292
{1 48},{14 18 34},0.255,0.444
{1 14},{18 34 48},0.382,0.296
{1 34},{14 18 48},0.352,0.321
{18},{1 14 34 48},0.705,0.16
{48},{1 14 18 34},0.479,0.236
{14},{1 18 34 48},0.717,0.158
{34},{1 14 18 48},0.641,0.177
{1},{14 18 34 48},0.52,0.218
{14 16 18 34},{1},0.195,0.583
{1 14 16 18},{34},0.159,0.713
{1 16 18 34},{14},0.144,0.787
{1 14 18 34},{16},0.211,0.539
{1 14 16 34},{18},0.146,0.778
{14 16 18},{1 34},0.28,0.405
{16 18 34},{1 14},0.246,0.462
{14 18 34},{1 16},0.36,0.315
{14 16 34},{1 18},0.257,0.442
{1 16 18},{14 34},0.209,0.542
{1 14 18},{16 34},0.293,0.388
{1 14 16},{18 34},0.208,0.545
{1 18 34},{14 16},0.271,0.419
{1 16 34},{14 18},0.188,0.604
{1 14 34},{16 18},0.266,0.427
{16 18},{1 14 34},0.369,0.308
{14 18},{1 16 34},0.527,0.215
{14 16},{1 18 34},0.38,0.299
{18 34},{1 14 16},0.466,0.243
{16 34},{1 14 18},0.332,0.341
{14 34},{1 16 18},0.475,0.239
{1 18},{14 16 34},0.387,0.293
{1 16},{14 18 34},0.278,0.409
{1 14},{16 18 34},0.382,0.297
{1 34},{14 16 18},0.352,0.322
{18},{1 14 16 34},0.705,0.161
{16},{1 14 18 34},0.513,0.221
{14},{1 16 18 34},0.717,0.158
{34},{1 14 16 18},0.641,0.177
{1},{14 16 18 34},0.52,0.218
{1 14 18 34},{32},0.211,0.491
{14 18 32 34},{1},0.164,0.629
{1 14 18 32},{34},0.134,0.771
{1 18 32 34},{14},0.13,0.797
{1 14 32 34},{18},0.125,0.827
{14 18 34},{1 32},0.36,0.287
{1 14 18},{32 34},0.293,0.353
{1 18 34},{14 32},0.271,0.382
{1 14 34},{18 32},0.266,0.389
{14 18 32},{1 34},0.231,0.449
{18 32 34},{1 14},0.209,0.494
{14 32 34},{1 18},0.209,0.494
{1 18 32},{14 34},0.176,0.588
{1 14 32},{18 34},0.166,0.624
{1 32 34},{14 18},0.163,0.635
{14 18},{1 32 34},0.527,0.196
{18 34},{1 14 32},0.466,0.222
{14 34},{1 18 32},0.475,0.218
{1 18},{14 32 34},0.387,0.267
{1 14},{18 32 34},0.382,0.271
{1 34},{14 18 32},0.352,0.294
{18 32},{1 14 34},0.304,0.341
{14 32},{1 18 34},0.299,0.346
{32 34},{1 14 18},0.277,0.373
{1 32},{14 18 34},0.226,0.459
{18},{1 14 32 34},0.705,0.147
{14},{1 18 32 34},0.717,0.144
{34},{1 14 18 32},0.641,0.161
{1},{14 18 32 34},0.52,0.199
{32},{1 14 18 34},0.413,0.251
{14 19 30 34},{1},0.168,0.62
{1 14 19 30},{34},0.139,0.748
{1 19 30 34},{14},0.128,0.81
{1 14 30 34},{19},0.168,0.618
{1 14 19 34},{30},0.159,0.651
{14 19 30},{1 34},0.241,0.431
{19 30 34},{1 14},0.215,0.484
{14 30 34},{1 19},0.282,0.368
{14 19 34},{1 30},0.275,0.377
{1 19 30},{14 34},0.177,0.587
{1 14 30},{19 34},0.239,0.434
{1 14 19},{30 34},0.22,0.472
{1 30 34},{14 19},0.214,0.486
{1 19 34},{14 30},0.203,0.511
{1 14 34},{19 30},0.266,0.391
{19 30},{1 14 34},0.316,0.328
{14 30},{1 19 34},0.421,0.246
{14 19},{1 30 34},0.399,0.26
{30 34},{1 14 19},0.368,0.282
{19 34},{1 14 30},0.36,0.288
{14 34},{1 19 30},0.475,0.219
{1 30},{14 19 34},0.31,0.335
{1 19},{14 30 34},0.288,0.36
{1 14},{19 30 34},0.382,0.272
{1 34},{14 19 30},0.352,0.295
{30},{1 14 19 34},0.563,0.184
{19},{1 14 30 34},0.54,0.192
{14},{1 19 30 34},0.717,0.145
{34},{1 14 19 30},0.641,0.162
{1},{14 19 30 34},0.52,0.2
{4 14 18 30},{34},0.138,0.726
{14 18 30 34},{4},0.216,0.464
{4 18 30 34},{14},0.124,0.804
{4 14 30 34},{18},0.129,0.777
{4 14 18 34},{30},0.158,0.633
{14 18 30},{4 34},0.31,0.323
{4 18 30},{14 34},0.173,0.58
{4 14 30},{18 34},0.184,0.544
{4 14 18},{30 34},0.22,0.455
{18 30 34},{4 14},0.27,0.371
{14 30 34},{4 18},0.282,0.355
{14 18 34},{4 30},0.36,0.278
{4 30 34},{14 18},0.167,0.599
{4 18 34},{14 30},0.205,0.489
{4 14 34},{18 30},0.201,0.499
{18 30},{4 14 34},0.397,0.252
{14 30},{4 18 34},0.421,0.238
{14 18},{4 30 34},0.527,0.19
{4 30},{14 18 34},0.242,0.414
{4 18},{14 30 34},0.29,0.345
{4 14},{18 30 34},0.289,0.346
{30 34},{4 14 18},0.368,0.272
{18 34},{4 14 30},0.466,0.215
{14 34},{4 18 30},0.475,0.211
{4 34},{14 18 30},0.269,0.372
{30},{4 14 18 34},0.563,0.178
{18},{4 14 30 34},0.705,0.142
{14},{4 18 30 34},0.717,0.14
{4},{14 18 30 34},0.397,0.252
{34},{4 14 18 30},0.641,0.156
{14 18 19 30},{6},0.186,0.565
{6 18 19 30},{14},0.133,0.791
{6 14 19 30},{18},0.136,0.774
{6 14 18 30},{19},0.174,0.603
{6 14 18 19},{30},0.171,0.615
{18 19 30},{6 14},0.237,0.444
{14 19 30},{6 18},0.241,0.437
{14 18 30},{6 19},0.31,0.339
{14 18 19},{6 30},0.306,0.344
{6 19 30},{14 18},0.179,0.588
{6 18 30},{14 19},0.222,0.474
{6 18 19},{14 30},0.222,0.474
{6 14 30},{18 19},0.235,0.448
{6 14 19},{18 30},0.221,0.477
{6 14 18},{19 30},0.29,0.363
{19 30},{6 14 18},0.316,0.332
{18 30},{6 14 19},0.397,0.265
{18 19},{6 14 30},0.4,0.263
{14 30},{6 18 19},0.421,0.25
{14 19},{6 18 30},0.399,0.263
{14 18},{6 19 30},0.527,0.199
{6 30},{14 18 19},0.307,0.343
{6 19},{14 18 30},0.298,0.352
{6 18},{14 19 30},0.382,0.275
{6 14},{18 19 30},0.388,0.271
{30},{6 14 18 19},0.563,0.187
{19},{6 14 18 30},0.54,0.195
{18},{6 14 19 30},0.705,0.149
{14},{6 18 19 30},0.717,0.147
{6},{14 18 19 30},0.528,0.199
{6 14 18 19},{34},0.171,0.707
{14 18 19 34},{6},0.215,0.561
{6 18 19 34},{14},0.155,0.778
{6 14 19 34},{18},0.154,0.784
{6 14 18 34},{19},0.202,0.597
{14 18 19},{6 34},0.306,0.395
{6 18 19},{14 34},0.222,0.544
{6 14 19},{18 34},0.221,0.548
{6 14 18},{19 34},0.29,0.417
{18 19 34},{6 14},0.274,0.441
{14 19 34},{6 18},0.275,0.439
{14 18 34},{6 19},0.36,0.335
{6 19 34},{14 18},0.204,0.592
{6 18 34},{14 19},0.262,0.461
{6 14 34},{18 19},0.265,0.455
{18 19},{6 14 34},0.4,0.302
{14 19},{6 18 34},0.399,0.302
{14 18},{6 19 34},0.527,0.229
{6 19},{14 18 34},0.298,0.405
{6 18},{14 19 34},0.382,0.316
{6 14},{18 19 34},0.388,0.312
{19 34},{6 14 18},0.36,0.336
{18 34},{6 14 19},0.466,0.259
{14 34},{6 18 19},0.475,0.254
{6 34},{14 18 19},0.352,0.343
{19},{6 14 18 34},0.54,0.224
{18},{6 14 19 34},0.705,0.171
{14},{6 18 19 34},0.717,0.169
{6},{14 18 19 34},0.528,0.229
{34},{6 14 18 19},0.641,0.189
{6 14 18 30},{34},0.174,0.703
{14 18 30 34},{6},0.216,0.567
{6 18 30 34},{14},0.154,0.793
{6 14 30 34},{18},0.162,0.757
{6 14 18 34},{30},0.202,0.606
{14 18 30},{6 34},0.31,0.395
{6 18 30},{14 34},0.222,0.553
{6 14 30},{18 34},0.235,0.522
{6 14 18},{30 34},0.29,0.423
{18 30 34},{6 14},0.27,0.454
{14 30 34},{6 18},0.282,0.434
{14 18 34},{6 30},0.36,0.34
{6 30 34},{14 18},0.208,0.589
{6 18 34},{14 30},0.262,0.468
{6 14 34},{18 30},0.265,0.462
{18 30},{6 14 34},0.397,0.309
{14 30},{6 18 34},0.421,0.291
{14 18},{6 30 34},0.527,0.232
{6 30},{14 18 34},0.307,0.399
{6 18},{14 30 34},0.382,0.321
{6 14},{18 30 34},0.388,0.316
{30 34},{6 14 18},0.368,0.333
{18 34},{6 14 30},0.466,0.263
{14 34},{6 18 30},0.475,0.258
{6 34},{14 18 30},0.352,0.348
{30},{6 14 18 34},0.563,0.217
{18},{6 14 30 34},0.705,0.174
{14},{6 18 30 34},0.717,0.171
{6},{14 18 30 34},0.528,0.232
{34},{6 14 18 30},0.641,0.191
{6 14 18 48},{34},0.151,0.718
{14 18 34 48},{6},0.187,0.581
{6 18 34 48},{14},0.135,0.805
{6 14 18 34},{48},0.202,0.538
{6 14 34 48},{18},0.137,0.795
{14 18 48},{6 34},0.27,0.402
{6 18 48},{14 34},0.191,0.571
{6 14 18},{34 48},0.29,0.376
{6 14 48},{18 34},0.194,0.561
{18 34 48},{6 14},0.235,0.462
{14 18 34},{6 48},0.36,0.302
{14 34 48},{6 18},0.242,0.449
{6 18 34},{14 48},0.262,0.415
{6 34 48},{14 18},0.177,0.616
{6 14 34},{18 48},0.265,0.41
{18 48},{6 14 34},0.348,0.313
{14 18},{6 34 48},0.527,0.206
{14 48},{6 18 34},0.356,0.306
{6 18},{14 34 48},0.382,0.285
{6 48},{14 18 34},0.256,0.425
{6 14},{18 34 48},0.388,0.281
{18 34},{6 14 48},0.466,0.233
{34 48},{6 14 18},0.316,0.344
{14 34},{6 18 48},0.475,0.229
{6 34},{14 18 48},0.352,0.309
{18},{6 14 34 48},0.705,0.154
{48},{6 14 18 34},0.479,0.227
{14},{6 18 34 48},0.717,0.152
{6},{14 18 34 48},0.528,0.206
{34},{6 14 18 48},0.641,0.17
{6 14 16 18},{34},0.157,0.699
{14 16 18 34},{6},0.195,0.564
{6 16 18 34},{14},0.139,0.787
{6 14 18 34},{16},0.202,0.543
{6 14 16 34},{18},0.142,0.772
{14 16 18},{6 34},0.28,0.392
{6 16 18},{14 34},0.204,0.538
{6 14 18},{16 34},0.29,0.379
{6 14 16},{18 34},0.209,0.526
{16 18 34},{6 14},0.246,0.447
{14 18 34},{6 16},0.36,0.305
{14 16 34},{6 18},0.257,0.428
{6 18 34},{14 16},0.262,0.419
{6 16 34},{14 18},0.184,0.598
{6 14 34},{16 18},0.265,0.414
{16 18},{6 14 34},0.369,0.298
{14 18},{6 16 34},0.527,0.208
{14 16},{6 18 34},0.38,0.289
{6 18},{14 16 34},0.382,0.288
{6 16},{14 18 34},0.278,0.394
{6 14},{16 18 34},0.388,0.283
{18 34},{6 14 16},0.466,0.235
{16 34},{6 14 18},0.332,0.33
{14 34},{6 16 18},0.475,0.231
{6 34},{14 16 18},0.352,0.312
{18},{6 14 16 34},0.705,0.156
{16},{6 14 18 34},0.513,0.214
{14},{6 16 18 34},0.717,0.153
{6},{14 16 18 34},0.528,0.208
{34},{6 14 16 18},0.641,0.171
{14 18 19 30},{34},0.186,0.717
{18 19 30 34},{14},0.166,0.805
{14 19 30 34},{18},0.168,0.797
{14 18 30 34},{19},0.216,0.618
{14 18 19 34},{30},0.215,0.62
{18 19 30},{14 34},0.237,0.563
{14 19 30},{18 34},0.241,0.555
{14 18 30},{19 34},0.31,0.431
{14 18 19},{30 34},0.306,0.437
{19 30 34},{14 18},0.215,0.622
{18 30 34},{14 19},0.27,0.495
{18 19 34},{14 30},0.274,0.487
{14 30 34},{18 19},0.282,0.473
{14 19 34},{18 30},0.275,0.485
{14 18 34},{19 30},0.36,0.37
{19 30},{14 18 34},0.316,0.422
{18 30},{14 19 34},0.397,0.336
{18 19},{14 30 34},0.4,0.334
{14 30},{18 19 34},0.421,0.317
{14 19},{18 30 34},0.399,0.334
{14 18},{19 30 34},0.527,0.253
{30 34},{14 18 19},0.368,0.363
{19 34},{14 18 30},0.36,0.371
{18 34},{14 19 30},0.466,0.286
{14 34},{18 19 30},0.475,0.281
{30},{14 18 19 34},0.563,0.237
{19},{14 18 30 34},0.54,0.247
{18},{14 19 30 34},0.705,0.189
{14},{18 19 30 34},0.717,0.186
{34},{14 18 19 30},0.641,0.208
{18 19 30 48},{14},0.125,0.813
{14 18 19 30},{48},0.186,0.547
{14 19 30 48},{18},0.131,0.778
{14 18 30 48},{19},0.165,0.616
{14 18 19 48},{30},0.161,0.631
{18 19 30},{14 48},0.237,0.43
{19 30 48},{14 18},0.165,0.615
{18 30 48},{14 19},0.205,0.496
{18 19 48},{14 30},0.201,0.507
{14 19 30},{18 48},0.241,0.423
{14 18 30},{19 48},0.31,0.329
{14 18 19},{30 48},0.306,0.333
{14 30 48},{18 19},0.218,0.468
{14 19 48},{18 30},0.21,0.486
{14 18 48},{19 30},0.27,0.377
{19 30},{14 18 48},0.316,0.322
{18 30},{14 19 48},0.397,0.257
{18 19},{14 30 48},0.4,0.255
{30 48},{14 18 19},0.282,0.361
{19 48},{14 18 30},0.268,0.38
{18 48},{14 19 30},0.348,0.293
{14 30},{18 19 48},0.421,0.242
{14 19},{18 30 48},0.399,0.255
{14 18},{19 30 48},0.527,0.193
{14 48},{18 19 30},0.356,0.286
{30},{14 18 19 48},0.563,0.181
{19},{14 18 30 48},0.54,0.189
{18},{14 19 30 48},0.705,0.144
{48},{14 18 19 30},0.479,0.213
{14},{18 19 30 48},0.717,0.142
{14 18 19 48},{34},0.161,0.7
{18 19 34 48},{14},0.136,0.828
{14 18 19 34},{48},0.215,0.524
{14 19 34 48},{18},0.144,0.782
{14 18 34 48},{19},0.187,0.602
{18 19 48},{14 34},0.201,0.561
{14 18 19},{34 48},0.306,0.369
{14 19 48},{18 34},0.21,0.538
{14 18 48},{19 34},0.27,0.417
{18 19 34},{14 48},0.274,0.412
{19 34 48},{14 18},0.178,0.635
{18 34 48},{14 19},0.235,0.479
{14 19 34},{18 48},0.275,0.41
{14 18 34},{19 48},0.36,0.313
{14 34 48},{18 19},0.242,0.466
{18 19},{14 34 48},0.4,0.282
{19 48},{14 18 34},0.268,0.421
{18 48},{14 19 34},0.348,0.324
{14 19},{18 34 48},0.399,0.282
{14 18},{19 34 48},0.527,0.214
{14 48},{18 19 34},0.356,0.317
{19 34},{14 18 48},0.36,0.314
{18 34},{14 19 48},0.466,0.242
{34 48},{14 18 19},0.316,0.357
{14 34},{18 19 48},0.475,0.238
{19},{14 18 34 48},0.54,0.209
{18},{14 19 34 48},0.705,0.16
{48},{14 18 19 34},0.479,0.236
{14},{18 19 34 48},0.717,0.157
{34},{14 18 19 48},0.641,0.176
{14 16 18 19},{34},0.163,0.706
{16 18 19 34},{14},0.146,0.789
{14 18 19 34},{16},0.215,0.535
{14 16 19 34},{18},0.148,0.775
{14 16 18 34},{19},0.195,0.592
{16 18 19},{14 34},0.215,0.536
{14 18 19},{16 34},0.306,0.377
{14 16 19},{18 34},0.214,0.537
{14 16 18},{19 34},0.28,0.411
{18 19 34},{14 16},0.274,0.42
{16 19 34},{14 18},0.19,0.606
{16 18 34},{14 19},0.246,0.469
{14 19 34},{16 18},0.275,0.419
{14 18 34},{16 19},0.36,0.319
{14 16 34},{18 19},0.257,0.449
{18 19},{14 16 34},0.4,0.288
{16 19},{14 18 34},0.286,0.402
{16 18},{14 19 34},0.369,0.312
{14 19},{16 18 34},0.399,0.288
{14 18},{16 19 34},0.527,0.218
{14 16},{18 19 34},0.38,0.303
{19 34},{14 16 18},0.36,0.32
{18 34},{14 16 19},0.466,0.247
{16 34},{14 18 19},0.332,0.346
{14 34},{16 18 19},0.475,0.242
{19},{14 16 18 34},0.54,0.213
{18},{14 16 19 34},0.705,0.163
{16},{14 18 19 34},0.513,0.224
{14},{16 18 19 34},0.717,0.161
{34},{14 16 18 19},0.641,0.18
{14 18 19 26},{34},0.139,0.719
{18 19 26 34},{14},0.122,0.82
{14 19 26 34},{18},0.123,0.815
{14 18 26 34},{19},0.163,0.612
{14 18 19 34},{26},0.215,0.465
{18 19 26},{14 34},0.176,0.57
{14 19 26},{18 34},0.176,0.569
{14 18 26},{19 34},0.232,0.431
{14 18 19},{26 34},0.306,0.328
{19 26 34},{14 18},0.156,0.642
{18 26 34},{14 19},0.203,0.494
{18 19 34},{14 26},0.274,0.365
{14 26 34},{18 19},0.207,0.485
{14 19 34},{18 26},0.275,0.364
{14 18 34},{19 26},0.36,0.278
{19 26},{14 18 34},0.233,0.43
{18 26},{14 19 34},0.299,0.334
{18 19},{14 26 34},0.4,0.25
{14 26},{18 19 34},0.305,0.328
{14 19},{18 26 34},0.399,0.251
{14 18},{19 26 34},0.527,0.19
{26 34},{14 18 19},0.27,0.371
{19 34},{14 18 26},0.36,0.278
{18 34},{14 19 26},0.466,0.215
{14 34},{18 19 26},0.475,0.211
{26},{14 18 19 34},0.412,0.243
{19},{14 18 26 34},0.54,0.186
{18},{14 19 26 34},0.705,0.142
{14},{18 19 26 34},0.717,0.14
{34},{14 18 19 26},0.641,0.156
{14 18 30 48},{34},0.165,0.723
{18 30 34 48},{14},0.144,0.827
{14 18 30 34},{48},0.216,0.553
{14 30 34 48},{18},0.151,0.792
{14 18 34 48},{30},0.187,0.638
{18 30 48},{14 34},0.205,0.582
{14 18 30},{34 48},0.31,0.386
{14 30 48},{18 34},0.218,0.549
{14 18 48},{30 34},0.27,0.442
{18 30 34},{14 48},0.27,0.443
{30 34 48},{14 18},0.191,0.627
{18 34 48},{14 30},0.235,0.508
{14 30 34},{18 48},0.282,0.423
{14 18 34},{30 48},0.36,0.331
{14 34 48},{18 30},0.242,0.493
{18 30},{14 34 48},0.397,0.301
{30 48},{14 18 34},0.282,0.423
{18 48},{14 30 34},0.348,0.344
{14 30},{18 34 48},0.421,0.284
{14 18},{30 34 48},0.527,0.227
{14 48},{18 30 34},0.356,0.336
{30 34},{14 18 48},0.368,0.325
{18 34},{14 30 48},0.466,0.256
{34 48},{14 18 30},0.316,0.378
{14 34},{18 30 48},0.475,0.252
{30},{14 18 34 48},0.563,0.212
{18},{14 30 34 48},0.705,0.169
{48},{14 18 30 34},0.479,0.249
{14},{18 30 34 48},0.717,0.167
{34},{14 18 30 48},0.641,0.186
{14 16 18 30},{34},0.16,0.706
{16 18 30 34},{14},0.141,0.803
{14 18 30 34},{16},0.216,0.524
{14 16 30 34},{18},0.15,0.753
{14 16 18 34},{30},0.195,0.581
{16 18 30},{14 34},0.206,0.55
{14 18 30},{16 34},0.31,0.365
{14 16 30},{18 34},0.22,0.514
{14 16 18},{30 34},0.28,0.404
{18 30 34},{14 16},0.27,0.42
{16 30 34},{14 18},0.192,0.59
{16 18 34},{14 30},0.246,0.461
{14 30 34},{16 18},0.282,0.401
{14 18 34},{16 30},0.36,0.314
{14 16 34},{18 30},0.257,0.441
{18 30},{14 16 34},0.397,0.285
{16 30},{14 18 34},0.29,0.39
{16 18},{14 30 34},0.369,0.307
{14 30},{16 18 34},0.421,0.269
{14 18},{16 30 34},0.527,0.215
{14 16},{18 30 34},0.38,0.298
{30 34},{14 16 18},0.368,0.307
{18 34},{14 16 30},0.466,0.242
{16 34},{14 18 30},0.332,0.34
{14 34},{16 18 30},0.475,0.238
{30},{14 16 18 34},0.563,0.201
{18},{14 16 30 34},0.705,0.16
{16},{14 18 30 34},0.513,0.22
{14},{16 18 30 34},0.717,0.158
{34},{14 16 18 30},0.641,0.177
{14 18 26 30},{34},0.145,0.724
{18 26 30 34},{14},0.125,0.835
{14 26 30 34},{18},0.129,0.809
{14 18 30 34},{26},0.216,0.485
{14 18 26 34},{30},0.163,0.641
{18 26 30},{14 34},0.179,0.586
{14 26 30},{18 34},0.188,0.559
{14 18 30},{26 34},0.31,0.338
{14 18 26},{30 34},0.232,0.451
